Kod;MuvelesiAg;1;2;3;4;5;6;7;8
1;"szántó";32.1;24.3;22.6;20;15.6;13.2;5.6;3.8
1;"rét";38.2;29.5;23.5;15.6;11.5;9;5.9;3.5
1;"szőlő";76.5;60.8;45.2;36.5;26.9;18.2;10.1;0
1;"kert";38.2;34.8;31.3;28.7;26.1;23.5;19.1;7
1;"gyümölcsös";38.2;34.8;31.3;28.7;26.1;23.5;19.1;14.8
1;"legelő";11.1;10.1;9;8.3;5.9;3.8;2.6;1.2
1;"nádas";0;0;0;0;0;0;0;0
1;"fásított terület";6.6;5.2;4.5;3.8;3.1;2.3;1.7;1
2;"szántó";21.7;14.8;8;3.8;1.9;0;0;0
2;"rét";28.7;25.2;16.5;12.5;10.8;8.7;3.3;0
2;"szőlő";32.1;22.6;16.5;8.7;0;0;0;0
2;"kert";31.3;28.7;26.9;20.9;8.7;0;0;0
2;"gyümölcsös";31.3;28.7;26.9;20.9;0;0;0;0
2;"legelő";9;6.3;4.5;2.6;1.9;0;0;0
2;"nádas";0;0;0;0;0;0;0;0
2;"fásított terület";5.9;5.2;4.5;3.1;2.3;1.6;1;0.7
3;"szántó";43.4;34.8;26.1;17.4;12.5;9.7;7;1.9
3;"rét";33.9;26.1;20;13.6;9.7;7.6;3.5;1.2
3;"szőlő";66;52.1;43.4;29.5;17.4;0;0;0
3;"kert";90.4;79.9;69.5;55.6;46.9;34.8;29.5;0
3;"gyümölcsös";90.4;79.9;69.5;55.6;46.9;34.8;29.5;0
3;"legelő";26.1;18.2;11.8;8;3.8;2.8;1.2;0
3;"nádas";31.3;0;0;0;0;0;0;0
3;"fásított terület";14.8;11.5;10.4;9;8;0;0;0
4;"szántó";38.2;32.1;26.1;19.1;11.5;7;3.5;1.4
4;"rét";31.3;20;13.9;8.7;3.5;0.6;0;0
4;"szőlő";55.6;45.2;34.8;24.3;13.9;0;0;0
4;"kert";45.2;31.3;13.9;0;0;0;0;0
4;"gyümölcsös";45.2;31.3;13.9;0;0;0;0;0
4;"legelő";19.1;13.2;7;3.1;0.9;0.3;0;0
4;"nádas";36.5;26.1;17.4;10.4;0;0;0;0
4;"fásított terület";9.7;5.9;3.3;2.3;0;0;0;0
5;"szántó";38.2;32.1;26.1;19.1;11.5;7;3.5;1.4
5;"rét";33;20;13.9;8.7;3.5;0.6;0;0
5;"szőlő";55.6;45.2;34.8;24.3;13.9;0;0;0
5;"kert";62.6;50.4;38.2;13.9;0;0;0;0
5;"gyümölcsös";62.6;50.4;38.2;13.9;0;0;0;0
5;"legelő";20;13.2;7;3.1;0.9;0.3;0;0
5;"nádas";36.5;26.1;17.4;10.4;0;0;0;0
5;"fásított terület";8.3;5.9;3.3;2.3;1.2;0.6;0.1;0
6;"szántó";38.2;32.1;26.1;19.1;12.9;9;5.6;3.1
6;"rét";40;33;23.5;17.4;12.5;9.4;6.6;3.8
6;"szőlő";114.7;86.9;69.5;55.6;43.4;28.7;17.4;10.4
6;"kert";48.7;38.2;27.8;18.2;13.2;7.3;0;0
6;"gyümölcsös";48.7;38.2;27.8;18.2;13.2;0;0;0
6;"legelő";13.9;9;5.9;3.8;2.4;1.4;0.9;0
6;"nádas";2.4;0;0;0;0;0;0;0
6;"fásított terület";9;6.6;4.2;3.1;2.4;1.4;1;0
7;"szántó";32.1;26.1;19.1;14.8;10.4;7;4.2;2.4
