Telepules;Kod
"Abaliget";97
"Adorjás";141
"Almamellék";165
"Almáskeresztúr";165
"Alsómocsolád";97
"Alsószentmárton";141
"Apátvarasd";108
"Aranyosgadány";126
"Ág";97
"Áta";126
"Babarc";107
"Babarcszőlős";161
"Bakóca";97
"Bakonya";161
"Baksa";161
"Baranyahídvég";141
"Baranyajenő";97
"Baranyaszentgyörgy";97
"Basal";165
"Bánfa";161
"Bár";108
"Belvárdgyula";126
"Beremend";141
"Berkesd";108
"Besence";141
"Bezedek";107
"Bicsérd";161
"Bikal";97
"Birján";126
"Bisse";142
"Boda";161
"Bodolyabér";97
"Bogád";126
"Bogádmindszent";161
"Bogdása";161
"Boldogasszonyfa";165
"Bóly";107
"Borjád";107
"Bosta";126
"Botykapeterd";161
"Bükkösd";162
"Bürüs";166
"Cún";141
"Csarnóta";142
"Csányoszró";141
"Csebény";162
"Cserdi";161
"Cserkút";127
"Csertő";165
"Csonkamindszent";161
"Dencsháza";161
"Dinnyeberki";162
"Diósviszló";140
"Drávacsehi";141
"Drávacsepely";141
"Drávafok";166
"Drávaiványi";161
"Drávakeresztúr";166
"Drávapalkonya";141
"Drávapiski";141
"Drávaszabolcs";141
"Drávaszerdahely";141
"Drávasztára";166
"Dunaszekcső";108
"Egerág";126
"Egyházasharaszti";141
"Egyházaskozár";97
"Ellend";108
"Endrőc";166
"Erdősmárok";108
"Erdősmecske";108
"Erzsébet";108
"Fazekasboda";108
"Feked";108
"Felsőegerszeg";97
"Felsőszentmárton";166
"Garé";126
"Gerde";161
"Geresdlak";108
"Gerényes";97
"Gilvánfa";161
"Gordisa";141
"Gödre";97
"Görcsöny";126
"Görcsönydoboka";108
"Gyód";126
"Gyöngyfa";161
"Gyöngyösmellék";166
"Harkány";140
"Hásságy";126
"Hegyhátmaróc";97
"Hegyszentmárton";161
"Helesfa";162
"Hetvehely";97
"Hidas";155
"Himesháza";108
"Hirics";141
"Hobol";165
"Homorúd";107
"Horváthertelend";162
"Hosszúhetény";127
"Husztót";97
"Ibafa";162
"Illocska";107
"Ipacsfa";140
"Ivánbattyán";142
"Ivándárda";107
"Kacsóta";161
"Katádfa";161
"Kákics";161
"Kárász";97
"Kásád";141
"Kátoly";108
"Kemse";141
"Keszü";126
"Kékesd";108
"Kémes";141
"Kétújfalu";166
"Királyegyháza";161
"Kisasszonyfa";161
"Kisbeszterce";97
"Kisbudmér";126
"Kisdér";161
"Kisdobsza";165
"Kishajmás";97
"Kisharsány";140
"Kisherend";126
"Kisjakabfalva";142
"Kiskassa";126
"Kislippó";107
"Kisnyárád";108
"Kisszentmárton";141
"Kistamási";166
"Kistapolca";140
"Kistótfalu";142
"Kisvaszar";97
"Komló";97
"Kórós";141
"Kovácshida";141
"Kovácsszénája";97
"Kozármisleny";126
"Köblény";97
"Kökény";126
"Kölked";107
"Kővágószőlős";127
"Kővágótöttös";127
"Lapáncsa";107
"Lánycsók";107
"Liget";97
"Lippó";107
"Liptód";108
"Lothárd";126
"Lovászhetény";108
"Lúzsok";141
"Magyarbóly";107
"Magyaregregy";97
"Magyarhertelend";97
"Magyarlukafa";165
"Magyarmecske";161
"Magyarsarlós";126
"Magyarszék";97
"Magyartelek";161
"Majs";107
"Maráza";108
"Markóc";166
"Marócsa";161
"Martonfa";126
"Matty";141
"Mágocs";96
"Mánfa";97
"Márfa";140
"Máriakéménd";108
"Márok";107
"Máza";97
"Mecseknádasd";108
"Mecsekpölöske";97
"Mekényes";97
"Merenye";165
"Meződ";97
"Mindszentgodisa";97
"Mohács";107
"Molvány";166
"Monyoród";108
"Mozsgó";165
"Nagybudmér";126
"Nagycsány";141
"Nagydobsza";165
"Nagyhajmás";97
"Nagyharsány";140
"Nagykozár";126
"Nagynyárád";107
"Nagypall";108
"Nagypeterd";161
"Nagytótfalu";140
"Nagyváty";161
"Nemeske";166
"Nyugotszenterzsébet";162
"Óbánya";108
"Ócsárd";126
"Ófalu";108
"Okorág";161
"Okorvölgy";97
"Olasz";126
"Old";141
"Orfű";97
"Oroszló";97
"Ózdfalu";161
"Palé";97
"Palkonya";142
"Palotabozsok";108
"Patapoklosi";165
"Páprád";141
"Pellérd";126
"Pereked";108
"Peterd";126
"Pettend";166
"Pécs";126
"Pécsbagota";161
"Pécsdevecser";126
"Pécsudvard";126
"Pécsvárad";108
"Piskó";141
"Pócsa";107
"Pogány";126
"Rádfalva";141
"Regenye";126
"Romonya";126
"Rózsafa";161
"Sámod";141
"Sárok";22
"Sásd";97
"Sátorhely";107
"Sellye";161
"Siklós";140
"Siklósbodony";161
"Siklósnagyfalu";140
"Somberek";108
"Somogyapáti";165
"Somogyhatvan";165
"Somogyhárságy";165
"Somogyviszló";165
"Sósvertike";161
"Sumony";161
"Szabadszentkirály";161
"Szajk";107
"Szalatnak";97
"Szalánta";126
"Szaporca";141
"Szava";142
"Szágy";97
"Szárász";97
"Szászvár";97
"Szebény";108
"Szederkény";107
"Szellő";108
"Szemely";126
"Szentdénes";161
"Szentegát";161
"Szentkatalin";97
"Szentlászló";165
"Szentlőrinc";161
"Székelyszabar";108
"Szigetvár";165
"Szilágy";108
"Szilvás";126
"Szőke";126
"Szőkéd";126
"Szörény";166
"Szulimán";165
"Szűr";108
"Tarrós";97
"Teklafalu";166
"Tengeri";161
"Tékes";97
"Tésenfa";141
"Téseny";161
"Tófű";97
"Tormás";97
"Tótszentgyörgy";165
"Töttös";107
"Túrony";142
"Udvar";107
"Újpetre";126
"Vajszló";141
"Varga";97
"Várad";166
"Vásárosbéc";165
"Vásárosdombó";96
"Vázsnok";97
"Vejti";141
"Velény";161
"Versend";107
"Vékény";97
"Véménd";108
"Villány";107
"Villánykövesd";142
"Vokány";142
"Zaláta";141
"Zádor";166
"Zengővárkony";108
"Zók";161
